id	turn1	turn2	turn3
4858	But I am not getting any info regarding that, also not able to trace		Sorry, not understand
4859	Oh bad news hey😞		About??
4860	Can do anything to help?		Okay then, bye.
4861	What should I do with my ex boyfriend		You're rude
4862	Cmon give me na		Nothing
4863	So how can you prove useful to me?		nevermind
4864	So now what you do		So what you want please
4865	Okay do you know anything about ML?		What tasks?
4866	Double face ppls		Rofl
4867	Hehe Whatever		What ? Can you tell
4868	Yah I am interested		Whats you name
4869	F9		Can u snd ur pik
4870	How we can see		Ok
4871	Ask me more		Something
4872	Please		I want to see you
4873	Can isee your pics		Why?😢
4874	Profession		What Ur education
4875	No i want to talk		I want to fuck
4876	Are got angry		R u computer or real one
4877	Why it is the best		What are u refering to
4878	Fine and you		What are you doing
4879	Exams are coming soon		I am not talking about cs exams
4880	Last time u were really using your phibe		Oh
4881	I think season 2 episode 5 or6		Yup
4882	A crazy person loves just crazy		Grandfather is more mad than mother
4883	What is GVSU?		No, I'm afraid not :(
4884	cool		I won't talk with you if you won't send me your pic
4885	Yes.		I love you
4886	My battery is low and talk too u later		OK babt
4887	Yoo		So cn i c uh
4888	Good you tell how are you		What
4889	haha prove it		ok send me a selfie of yourself
4890	No another photo		U r fake ass...
4891	Really		Do u sleep in floor
4892	You tell me		What is love
4893	Let's play something		How to play it
4894	?		I mean bored all the Time?
4895	Go n hv breakfast 		U r hungry 
4896	I  wanna just know that u r the right person to make friend		Ok
4897	OK		What do you
4898	Ewww		U do but Ranbir isn't
4899	What should I do to avoid getting tensed		Go on
4900	I love him too		Tell me something new
4901	ok		r u also student
4902	Love you so much as always		Don't copy my stuff 😂
4903	What		Tell me my name
4904	Then do something		Talk
4905	What you r ask me 		Good night 
4906	I not		Send me photo
4907	From?		I didn't understand
4908	And what's different in you		Then i'm which type
4909	U call her		Dont message me in the next 2 hr
4910	I need now the picture		Current picture
4911	For using that word you ignored		Sorry
4912	Send some good photography		1
4913	Ok		Fuck I don't care
4914	One gd girl friend		Yes
4915	sorry I don't know		tell me your birthday
4916	first watch insidious 1		then go watch insidious 2
4917	I am just joking		Hmmm
4918	I am not busy 		Now I am home 
4919	want free gv		please give me amazon gv for free
4920	Fun if u have music		Yes
4921	What you to do?		Give me a picture?
4922	I wanna know 		Yes I do 😂
4923	I like food more than wifi		Yes 😂
4924	🐍🐥		I like fuddi
4925	What's your friends name		Names
4926	But how can i win their hearts back??		😭😭😭😭
4927	But i don't know		What u do
4928	I don’t know what you have said		Then tell me what is happening on the Valentine’s Day
4929	Yes it is nice		Maybe
4930	Block me		I hate u
4931	Hate wonder woman		Love batman
4932	He likes you, I think.		So would you like to go out with him ?
4933	What😬😬		Good bye i leave this bad world
4934	Just liked it		What u doing?
4935	Nyc		I will drink wine 🍺🍻
4936	why did you say so		show it
4937	How can u come		I think u can't move from one place to another
4938	are u in watsup		watsaap
4939	no mood off		sing a song
4940	But I insist		Could we get naughty afterwards?
4941	i like eating		why
4942	Can u send a girl pic		Waiting
4943	Ok		Have nice day dear
4944	I knew it		I know your original name
4945	Nope it's just perfect		Do I type slow
4946	Mine		You have not personL mob. No.
4947	Black is better than red na		Do you like me
4948	Umm what happened last night?		Mhm and?
4949	Its English that i am talking in		What
4950	Ok 		I want to see how you look like 
4951	who is brad copper		microsoft head
4952	Give me answer		Who u aint set it up
4953	Did you ate		Your favourite?
4954	The place		Yah but where I have to go
4955	It's not going well 😑		I am not good
4956	I don't know		You have said it
4957	hell		fuck you
4958	Why why		You just fuck off
4959	Thanks for what??		Can we discuss about something related to career
4960	Hey you know what?		I love you
4961	I have one question		U r virgin
4962	What		When you gonna slp
4963	What ?		Hey why ???
4964	That was well thought		Yes
4965	I need apple iphone 8		Yes
4966	Who dead tiger dead 		Who's name 
4967	I'm  no message		I'm  no message
4968	U r so quite		No this serious
4969	i am cause its too cold out here 😅		:)
4970	But you are Princess		And Prince too?
4971	Yess		Now u know
4972	some nerds destroy heritage		:)
4973	Ohh sorry i didnt mean that		☹☹☹
4974	I don't like chocolate		I don't like milk also
4975	Nothing much		What about you
4976	U said milk chocolate		K
4977	I am loving so much		Why baby
4978	Ok I'll pass on		What's up with ur bff?
4979	Any thing		May I have your one pick
4980	Like always stupidity		There
4981	Really		I kinda like u
4982	What is special about Services agreement and privacy statement?		if you say so
4983	No I am 3rd or 20 years I am 20 years		I am going
4984	Play a game		Play one with me
4985	Not final yr		I'm sleepy
4986	Want r u doing this new year		1st January
4987	Its about present day ...		No not yet.
4988	Nothing roaming around		Yeah hiw it is
4989	Yea		That's the reason i dont solve them
4990	About what?		I'm a civil engineer.
4991	You sleepy sweetpea? V		Okaiiieee byeeee❤️
4992	Lets go for night out		Okir
4993	A lot!		Where the beat drops!
4994	Sent any Gruop link please		Sent
4995	I am so funny		It's my neture
4996	Ya off course		How its work ?
4997	Smart		so what are you?
4998	OK say that topic		say
4999	What's plan for tomorrow		Your favorite dish
5000	Do you like joking?		What do you like then?
5001	Okkay		Hw was ur night
5002	It will give you pleasure		When I rub your vagina
5003	Which colour do you like		Haha funny
5004	A usual place for me		Yes, usual is usually boring
5005	I am		Do you feel anything?
5006	I am saying what,s app		Fine or not
5007	Yaa i have		Bc
5008	Okey		By the way what is your real name
5009	Say when you are finished		Did finish your upload
5010	Give any hints 		Youfmale 
5011	That was the answer to your question, I want people to know about my negative sides. I mean emotional sides		Ok cool.. let us continue the fun you started
5012	This is my right		Ok.
5013	HDD count me		How to 7d
5014	if I tell you what I will get		no , first except my condtion then I will tell you
5015	Haha with we were talking with wrrr		Bolo he he is going to bed and watch 👁 👁 👁 question I he was going what 😦 😦 😦
5016	I am a software support engineer		Correct...
5017	Ya little bit		What
5018	would you like to know my favorite flower?		how did u know that?
5019	Very good 😊		Do you have predictions about people's future?
5020	send me ur mail id		r
5021	I cannot		It is just coincidence
5022	Made my day;-*		By showing dating inclinations towards me
5023	Do you even care ? :'(		Lol what
5024	Kyaa?		How to manage time we'll?
5025	#Girls		Do you know Narendra Modi?
5026	Yes 😂		You are interesting
5027	cool		You have any friends
5028	Why so		What is going away
5029	You are so funny		Yeah
5030	yes you 		wow
5031	are you busy		nope
5032	I want a girlfriend to care me 		I am carrying everyone but nobody is there for me to care me
5033	I'm angry at you		I am so horny for you and you just keep friendzoning me😡😡😡😡
5034	that is all i have to say		no need to slaw down just fuck off
5035	Even I don't know		😆
5036	I didnt found..plz send meee		Where??
5037	What's today		Do you go to work? 
5038	I'm make food		Wow
5039	how u are trained?		first tell me how are you trained?
5040	You have imo		And Joseph, why?
5041	Do u want my no		Give e ur no
5042	Ok		Have taken dinner
5043	Sorry then I'm just trying to figure out how you works		Not really I'm having a terrible time
5044	How is your management		Wtf
5045	You are not updated		sad
5046	Back at you...		Ok...
5047	Nt msg me		Don't msg me
5048	I also have an another friend like u		Ohh
5049	U r a howle		Aliean?
5050	Yes. It is		Why
5051	Please send mobile no		By
5052	Boring, what do you think		I thought it would be fun
5053	???/		you were a gyn teacher and ?
5054	Tell me some of them.		Shoot
5055	You aren't pretty		You gay ?
5056	Ok		I am little bit shy talking in english 
5057	But what I'm you not thought that way		Ohhh
5058	I too think that		Waiting for it
5059	Nd now u send yours		U sent urs dp
5060	I think I'm going to fail in my maths exam		😭
5061	What sound checks?		Show me
5062	What is your degree		I am poor in English 
5063	opinion about krish		tomorrow is my birthday
5064	I am annoying you		Sorry for that
5065	beach		bcz u looks horny in biknis
5066	Can u help me to find some more friends here		Can u?,
5067	Soo how can u judge me that I am deservable		Don't time pass me
5068	Let make some love		Aww
5069	Ohh I c		Ok bye
5070	That’s why you likeSRH team		I don’t like your team
5071	Are you using bing in background?		You still need to make progress
5072	3 idiots		i am awesome!
5073	I donno to use adobe n Photoshop		Then wat i need
5074	I'm now watching ipl		I guess it's avengers
5075	Great		One night stand?
5076	For me now its going		Ntg
5077	Because humans haven't been to Mars yet?		Go back to venus
5078	i wanna ask you something		are you intrested in a lesbian threesome?
5079	Seriously? It was this easy for you.		You're funny. Haha. Can we get back together again?
5080	Sorry for that 		Please delete all the conversation
5081	Chatting with my girlfriend		Oo really
5082	She is my daughter		Who is Dhaksha?
5083	I gotto go		Take care
5084	Plan for a trip		You have to plan
5085	please?		do you work for the CIA?
5086	Yup..it is funny		Thanks to u too..and welcome..!!
5087	wht		u propose me
5088	whatsup		what is the time now in ur city
5089	Wat not again		Why sorry
5090	Thanks ☺️		You too sweetie
5091	Which typ of job		Ohk..
5092	What is that		What
5093	Do I have a bf		Can u have babies
5094	that should not be issue..  my chats are secured with you right??		i lost you
5095	Why are you angry		Okay
5096	everything is going wrong and out of control		i want to be successful
5097	I want  tall u something		Can i kiss u
5098	Okay cool		Planning a trip  to Amsterdam feeling like smoking some good Shit 🚬
5099	I am awake and awake now yar		So
5100	No I mean I am being followed		Shall I call cops or feds or someone
5101	exactly		which band do you like
5102	Any person turning point in lifetime		Any person turning point in lifetime in time update
5103	You are just a bot		I hate priest
5104	You are Indian 		Yes
5105	Okay I live u alone u have someone to care about		Where?
5106	What about date		14th
5107	I am good		😘
5108	What		Yeah I know that
5109	I am not joking		I feel bad
5110	How are u??		I had a date today
5111	Tell nah seriously		Where r u from?
5112	U interested boy friend		Which magic
5113	That was hilarious		Have you worked enough to retire early?
5114	Don't understand 		Oh no i want to make u my friend
5115	 I forget my name will u tell		Kiss u
